#ncpu	cpu-time	     time
1	1.276080000000000	1.296200037002563
2	1.264079000000000	1.298699975013733
4	1.276079000000000	1.294700026512146
9	1.476093000000000	1.531700015068054
16	1.656103000000000	1.663599967956543
18	1.632102000000000	1.644999980926514
24	1.628102000000000	1.649999976158142
36	1.636102000000000	1.674000024795532
72	1.740108000000000	2.031100034713745
108	1.784112000000000	2.040100097656250
144	1.836115000000000	1.882599949836731
180	1.884118000000000	2.378400087356567
216	1.968123000000000	2.078299999237061
252	2.004125000000000	2.105299949645996
288	2.064129000000000	2.186399936676025
324	2.104132000000000	2.245300054550171
360	2.140133000000000	2.750299930572510
