#ncpu	cpu-time	     real-time
9	33.9098440000000	34.1357994079590
16	37.2833320000000	40.2529983520508
25	45.9650120000000	46.4043006896973
36	36.5394450000000	37.1529006958008
49	29.3245410000000	30.1112995147705
64	29.8974550000000	30.5450992584229
81	26.8369200000000	27.5352001190186
100	29.7224820000000	30.7353000640869
121	23.5444210000000	24.5401000976562
144	21.6837040000000	23.0400009155273
169	18.4521950000000	20.0503005981445
196	16.2915240000000	18.2808990478516
225	15.2466820000000	17.8708992004395
