#ncpu	cpu-time	     real-time
1	2853.63034100000	2857.23510742188
4	1243.44971100000	1245.08142089844
9	825.951618000000	827.045410156250
16	678.330393000000	679.271179199219
25	666.957682000000	667.894409179688
36	688.083003000000	689.051269531250
49	924.533780000000	926.101379394531
64	=	
81	=	
100	=	
121	=	
144	=	
169	=	
196	=	
225	=	
256	=	
